ElecID,X,Y
8031,-65.0,5.0
8032,-45.0,65.0
8033,-55.0,65.0
8034,-65.0,65.0
8035,-75.0,65.0
8036,-55.0,75.0
8037,-45.0,75.0
8038,-75.0,75.0
8039,-65.0,75.0
8040,-55.0,45.0
8041,-45.0,45.0
8042,-75.0,45.0
8043,-65.0,45.0
8044,-45.0,55.0
8045,-55.0,55.0
8046,-65.0,55.0
8047,-75.0,55.0
8048,-5.0,65.0
8049,-15.0,65.0
8050,-25.0,65.0
8051,-35.0,65.0
8052,-15.0,75.0
8053,-5.0,75.0
8054,-35.0,75.0
8055,-25.0,75.0
8056,-15.0,45.0
8057,-5.0,45.0
8058,-35.0,45.0
8059,-25.0,45.0
8060,-5.0,55.0
8061,-15.0,55.0
8062,-25.0,55.0
8063,-35.0,55.0
9000,-15.0,115.0
9001,-5.0,115.0
9002,-35.0,115.0
9003,-25.0,115.0
9004,-5.0,105.0
9005,-15.0,105.0
9006,-25.0,105.0
9007,-35.0,105.0
9008,-5.0,95.0
9009,-15.0,95.0
9010,-25.0,95.0
9011,-35.0,95.0
9012,-15.0,85.0
9013,-5.0,85.0
9014,-35.0,85.0
9015,-25.0,85.0
9016,-55.0,115.0
9017,-45.0,115.0
9018,-75.0,115.0
9019,-65.0,115.0
9020,-45.0,105.0
9021,-55.0,105.0
9022,-65.0,105.0
9023,-75.0,105.0
9024,-45.0,95.0
9025,-55.0,95.0
9026,-65.0,95.0
9027,-75.0,95.0
9028,-55.0,85.0
9029,-45.0,85.0
9030,-75.0,85.0
9031,-65.0,85.0
9032,-45.0,145.0
9033,-55.0,145.0
9034,-65.0,145.0
9035,-75.0,145.0
9036,-55.0,155.0
9037,-45.0,155.0
9038,-75.0,155.0
9039,-65.0,155.0
9040,-55.0,125.0
9041,-45.0,125.0
9042,-75.0,125.0
9043,-65.0,125.0
9044,-45.0,135.0
9045,-55.0,135.0
9046,-65.0,135.0
9047,-75.0,135.0
9048,-5.0,145.0
9049,-15.0,145.0
9050,-25.0,145.0
9051,-35.0,145.0
9052,-15.0,155.0
9053,-5.0,155.0
9054,-35.0,155.0
9055,-25.0,155.0
9056,-15.0,125.0
9057,-5.0,125.0
9058,-35.0,125.0
9059,-25.0,125.0
9060,-5.0,135.0
9061,-15.0,135.0
9062,-25.0,135.0
9063,-35.0,135.0
10000,95.0,45.0
10001,85.0,45.0
10002,115.0,45.0
10003,105.0,45.0
10004,85.0,55.0
10005,95.0,55.0
10006,105.0,55.0
10007,115.0,55.0
10008,85.0,65.0
10009,95.0,65.0
10010,105.0,65.0
10011,115.0,65.0
10012,95.0,75.0
10013,85.0,75.0
10014,115.0,75.0
10015,105.0,75.0
10016,135.0,45.0
10017,125.0,45.0
10018,155.0,45.0
10019,145.0,45.0
10020,125.0,55.0
10021,135.0,55.0
10022,145.0,55.0
10023,155.0,55.0
10024,125.0,65.0
10025,135.0,65.0
10026,145.0,65.0
10027,155.0,65.0
10028,135.0,75.0
10029,125.0,75.0
10030,155.0,75.0
10031,145.0,75.0
10032,125.0,15.0
10033,135.0,15.0
10034,145.0,15.0
10035,155.0,15.0
10036,135.0,5.0
10037,125.0,5.0
10038,155.0,5.0
10039,145.0,5.0
10040,135.0,35.0
10041,125.0,35.0
10042,155.0,35.0
10043,145.0,35.0
10044,125.0,25.0
10045,135.0,25.0
10046,145.0,25.0
10047,155.0,25.0
10048,85.0,15.0
10049,95.0,15.0
10050,105.0,15.0
10051,115.0,15.0
10052,95.0,5.0
10053,85.0,5.0
10054,115.0,5.0
10055,105.0,5.0
10056,95.0,35.0
10057,85.0,35.0
10058,115.0,35.0
10059,105.0,35.0
10060,85.0,25.0
10061,95.0,25.0
10062,105.0,25.0
10063,115.0,25.0
11000,15.0,45.0
11001,5.0,45.0
11002,35.0,45.0
11003,25.0,45.0
11004,5.0,55.0
11005,15.0,55.0
11006,25.0,55.0
11007,35.0,55.0
11008,5.0,65.0
11009,15.0,65.0
11010,25.0,65.0
11011,35.0,65.0
11012,15.0,75.0
11013,5.0,75.0
11014,35.0,75.0
11015,25.0,75.0
11016,55.0,45.0
